business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
-03HVYxkeYWaafEpNJo1SA,GoodLife Vapes,Mount Pleasant and Davisville,2095 Yonge Street,Toronto,ON,M4S 2A5,43.703,-79.398,5,5,1,Vape Shops;Shopping;Electronics;Tobacco Shops
Wd81DI2DICRtANydqJlFtQ,Brock Doors and Windows,,278 Orenda Road,Brampton,ON,L6T 4X6,43.7,-79.716,5,3,1,Home Services;Windows Installation;Garage Door Services;Contractors
zXY_rBLlE2Kb_D1FZ8bH9g,Crabby Joe's,,450 Holland Street W,Bradford,ON,L3Z 0G1,44.109,-79.587,2.5,5,1,Bars;Restaurants;Nightlife;American (Traditional);Burgers
aYSSqa0M5DZHjLT_jK5ezw,Amego Electric Vehicles,,533 Richmond Street W,Toronto,ON,M5V 3Y1,43.647,-79.401,2.5,3,1,Bike Rentals;Motorcycle Dealers;Active Life;Shopping;Bikes;Sporting Goods;Automotive
diH4Pf4mYd1P-zZsQErVTQ,PetSmart,,7077 E Mayo Blvd Ste 140,Phoenix,AZ,85054,33.654,-111.928,3,28,1,Pet Training;Pet Stores;Pets;Pet Groomers;Pet Services;Pet Sitting
OZC42gnhlJ_auXduDRfMoQ,Scratch,,1011 N 3rd St,Phoenix,AZ,85004,33.459,-112.069,3,40,0,French;Restaurants
m5h7_IeiGaY4Z1ns1y8veQ,Arizona Custom Canine,,Phoenix,AZ,85086,33.84,-112.119,5,13,1,Dog Walkers;Pet Training;Pet Services;Pets;Pet Sitting
U1QABk2PSkzTfHfPb_tZgA,Visionworks,,Fiesta Mall, 1445 W Southern Ave, Ste 2192,Mesa,AZ,85202,33.389,-111.861,3,8,0,Health & Medical;Shopping;Eyewear & Opticians;Optometrists
IiKKDb5sS1KIAf5jjfmApg,Sun Valley Hand Surgery,,15830 N 35th Ave, Ste 2,Phoenix,AZ,85053,33.63,-112.134,5,4,0,Doctors;Orthopedists;Health & Medical;Sports Medicine
rkSUOnANSaB3E9qMHhfpcA,Schwan's,,Phoenix,AZ,,33.448,-112.074,3,3,1,Ice Cream & Frozen Yogurt;Food
xhzUfaJ9BTa3EbD0bTeKWQ,IHOP,,10662 E Southern Ave,Mesa,AZ,85209,33.394,-111.6,3,45,1,Breakfast & Brunch;Restaurants;American (New);American (Traditional)
JbWQtVLQDEOBlvbVWk2OFg,Chipotle Mexican Grill,,903 W Anthony Dr, Ste A,Champaign,IL,61820,40.136,-88.26,5,40,1,Fast Food;Mexican;Restaurants
J8DxZ7enKZ0aAuF40e3rew,Charlotte Dentist: Joseph LoParo, DMD,Uptown,400 S Tryon St, Ste M-4,Charlotte,NC,28202,35.225,-80.847,3,4,1,Health & Medical;Cosmetic Dentists;Dentists;General Dentistry
zPSPUa9cgl68ydGNZt6gYQ,Thrifty Car Rental,,5330 Wilkinson Blvd,Charlotte,NC,28208,35.234,-80.929,3,9,1,Car Rental;Hotels & Travel
ct1uN_FOIyY1er8iLTsS6w,Eyeglass World,Westside,3819 W Sahara Ave,Las Vegas,NV,89102,36.144,-115.193,5,52,1,Ophthalmologists;Health & Medical;Eyewear & Opticians;Shopping;Optometrists;Doctors
qngp1XfBYWi7lB5S9Mg5ZA,Metropolitan Home Design,,15220 Madison Ave,Lakewood,OH,44107,41.477,-81.803,5,3,0,Interior Design;Home Services;Home & Garden;Shopping;Real Estate;Home Staging;Home Decor
cDpUshHyJHDEc19TSTulJw,Urbana Acupuncture,,155-A Lincoln Square Mall,Urbana,IL,61801,40.111,-88.206,5,8,1,Naturopathic/Holistic;Traditional Chinese Medicine;Doctors;Acupuncture;Health & Medical
YjfRCKCTqkcL1yTKPIwDlg,Savers,,3121 N Rancho Dr,Las Vegas,NV,89130,36.215,-115.213,3,29,1,Shopping;Thrift Stores;Fashion;Used;Vintage & Consignment
4m5g6GUGDN9NqkfA0dk9fA,Test America Preview Studios,The Strip,3667 Las Vegas Blvd S, Ste H-82, Desert Passage Mall at the Aladdin,Las Vegas,NV,89109,36.11,-115.17,3,10,1,Arts & Entertainment;Local Services
cMlHcrlADb5gRWwFaNKhjg,Samurai Sam's,Anthem,10075 S Eastern Ave, Ste 116,Henderson,NV,89052,36.006,-115.113,3,19,0,Asian Fusion;Japanese;Restaurants;Salad
Ett_hy5k5_hI4GvPN9cyHg,Ulta Beauty,Southeast,6689 Las Vegas Blvd S,Las Vegas,NV,89119,36.068,-115.174,5,24,1,Hair Salons;Blow Dry/Out Services;Beauty & Spas;Cosmetics & Beauty Supply;Hair Extensions;Shopping
MYB1ZMspBk1Xc_awp_PtSw,Naked City Pizza Express,Southwest,6935 Blue Diamond Rd,Las Vegas,NV,89178,36.021,-115.244,3,46,1,Sandwiches;Chicken Wings;Restaurants;Pizza
FBptd43MkPFZxVLRMz0PFw,Orangetheory Fitness Solon,,6025 Kruse Dr,Solon,OH,44139,41.393,-81.443,3,4,1,Fitness & Instruction;Active Life;Gyms;Trainers;Interval Training Gyms;Boot Camps
iQfx6lghJJbrb-fz-toOCQ,Swarovski Canada,Etobicoke,25 The West Mall,Etobicoke,ON,M9C 1B8,43.611,-79.557,3,3,1,Home Decor;Shopping;Jewelry;Home & Garden
9O0jWqGnHkBsXMOd-KOl4w,Hot and Sour,East Credit,1010 Dreamcrest Road, Unit 2,Mississauga,ON,L5V 3A4,43.591,-79.68,3,20,1,Restaurants;Asian Fusion;Halal;Chinese
z7ns1g4S82kaBdIAC_RMRw,Subway,,1000 Airport Blvd,Pittsburgh,PA,15231,40.495,-80.245,3,5,1,Sandwiches;Fast Food;Restaurants
VdoNOOcO8HmLHbmxE_3psA,Sonora Quest Laboratories,,9305 W Thomas Rd, Ste 300,Phoenix,AZ,85037,33.478,-112.26,3.5,7,1,Medical Centers;Diagnostic Services;Health & Medical;Laboratory Testing
D3Tpd4SrPAnZ1PaGVRGBfQ,Weinstube Klink,,Epplestr. 1 C,Stuttgart,BW,70597,48.749,9.17,3.5,3,1,German;Bars;Nightlife;Wine Bars;Restaurants
p3My4o49oL_aOY2M2QLu8w,The Chanter,Old Town,30 - 32 Bread Street,Edinburgh,EDH,EH3 9AF,55.946,-3.204,5,21,1,Bars;Nightlife;Pubs
XVDR44P_74FmA0ANanm4CQ,House of Pizza,Plaza Midwood,3640 Central Ave,Charlotte,NC,28205,35.215,-80.783,3.5,75,0,Greek;Restaurants;Pizza;Italian
Ch7Kx4JPJePFvjpXw0PAVQ,AliKat Photography,,Gilbert,AZ,85234,33.365,-111.75,5,12,1,Photographers;Event Photography;Session Photography;Event Planning & Services
CV05rBOr5DdDGvxUZkRFmg,Angeline's,Uptown,303 S Church St,Charlotte,NC,28202,35.226,-80.847,3.5,17,1,Restaurants;Nightlife;Pizza;Cocktail Bars;Bars;Italian
wHP1G6mEJJz5nDdA17R78w,Best Cleaners,Spring Valley,7080 S Jones Blvd, Ste 103,Las Vegas,NV,89118,36.06,-115.224,3.5,18,1,Local Services;Sewing & Alterations;Laundry Services;Dry Cleaning & Laundry
m1Arqxfo66oyOqPrLTSYzw,Scorpion Specialists,,Gilbert,AZ,85297,33.329,-111.79,5,7,1,Local Services;Pest Control
RtcVbq18T0vNODpGwHzcVQ,Standard Restaurant Supply,,5675 S Valley View,Las Vegas,NV,89118,36.087,-115.19,3.5,20,1,Kitchen & Bath;Shopping;Home & Garden;Restaurant Supplies;Professional Services;Wholesalers
RWuk_fBzdWc__FBEsPozZw,Walsh Heating and Cooling,,1650 E 361st St,Eastlake,OH,44095,41.636,-81.432,5,3,1,Metal Fabricators;Heating & Air Conditioning/HVAC;Local Services;Home Services;Appliances & Repair
EsE8KTPqAJ2MjJdmuAifRw,Dante's Inferno Flats,East Bank,1059 Old River Rd,Cleveland,OH,44113,41.5,-81.707,3.5,21,1,Italian;Restaurants;Pizza
PmLFk1s8pPVNXChqETM4MA,Coco Lezzone,The Annex,137 Avenue Road,Toronto,ON,M5R 2H4,43.674,-79.396,5,17,0,Italian;Restaurants;Event Planning & Services;Caterers
tqEQd2LD0DeAqkE9tbZ7zA,#1 Cochran Hyundai - Monroeville,,4520 William Penn Hwy,Monroeville,PA,15146,40.438,-79.745,3.5,25,1,Automotive;Car Dealers
CppOcUSapx5kU2lQNt2w5w,Freemans,Marchmont,2-6 Spottiswoode Road,Edinburgh,EDH,EH9 1DY,55.936,-3.195,5,20,0,Coffee & Tea;Food
vVz2o24e17PuQtHJOkHPfA,Brown Bag Deli,Downtown,817 Forbes Ave,Pittsburgh,PA,15219,40.439,-79.993,3.5,3,0,Cafes;Food;Food Delivery Services;Sandwiches;Restaurants
Oys6S-x8nYdTJqvY7ksGCA,La Cage Aux Sports,Ville-Marie,1437 Boul Rene-Levesque Ouest,Montréal,QC,H3G 1T7,45.495,-73.574,3.5,18,0,Restaurants
GaSR7qrkR5x0ubKe0av0rQ,Mr. Gao,Ville-Marie,1550 boulevard de Maisonneuve Ouest,Montréal,QC,H3G 1N2,45.496,-73.579,5,10,1,Restaurants;Chinese
YiaOpyu4qx0x1nJC_G33TQ,Grimaldi's Pizzeria,,7131 West Ray Rd, Ste 23,Chandler,AZ,85226,33.318,-111.966,4,187,1,Pizza;Restaurants
owuI8y4A3iiYQlAp-fOmWQ,The Pilates Bodies,,8961 E Bell Rd, Ste 202,Scottsdale,AZ,85260,33.639,-111.887,5,3,1,Active Life;Pilates;Fitness & Instruction
mRDyt98UXamjbSOX9NinlA,Juniper Branch Library,,1825 West Union Hills Dr,Phoenix,AZ,85027,33.654,-112.098,4,16,1,Libraries;Public Services & Government
ueN-Y7p_fiRDSXeD9be14A,Lotus Bar & Grill,,9030 E Via Linda,Scottsdale,AZ,85258,33.569,-111.886,4,18,0,Restaurants;Asian Fusion;Sports Bars;Bars;Nightlife
gazJFJoMqPP_aG76kAWcYw,Tortas La Presa #2,,4425 W Glendale Ave,Glendale,AZ,85301,33.538,-112.154,4,8,1,Mexican;Restaurants
gBEWJ4b2OvUmN4Oh7ju3hw,Iron Chef,,10810 N Tatum Blvd, Ste 106,Phoenix,AZ,85028,33.585,-111.978,4,331,1,Restaurants;Chinese;Japanese;Sushi Bars
NizoFauSY9EgFKXdz5WoNg,Super Cool Heating & Cooling,,1014 E Southern Ave,Phoenix,AZ,85040,33.393,-112.057,5,3,1,Heating & Air Conditioning/HVAC;Home Services
QcTTRBfrd0rMzzuCDec_Cw,Jacquee's Espresso,,40 N Central Ave, Ste 106,Phoenix,AZ,85004,33.449,-112.075,4,20,1,Delis;Coffee & Tea;Restaurants;Food
xTW5PkLEdMBs2f2W8RGy0g,Miele's Italian and Banquet Hall,,2050 W Guadalupe Rd, Ste 9,Mesa,AZ,85202,33.365,-111.878,4,87,1,Desserts;Italian;Pizza;Event Planning & Services;Buffets;Sandwiches;Food;Venues & Event Spaces;Restaurants
sU26m6RAkTtaNUjiJUFqRw,Detroit Coney Cruiser,,Scottsdale,AZ,,33.494,-111.926,5,6,1,Food;Food Trucks
1MxyFhzNpeIvTQHjtp-bSg,Diva Nails,,6611 W Peoria Ave, Ste 2,Glendale,AZ,85302,33.581,-112.201,4,43,1,Nail Salons;Beauty & Spas
yWmGplCGCnQBy9LJFaGa6A,Timesavers,,7745 E Redfield Rd, Ste 500,Scottsdale,AZ,85260,33.614,-111.913,4,4,1,Local Services;Furniture Repair;Watch Repair
2CQc-0KPuF2S8axUdGH24w,Punto fisso,,Christophstr. 14,Stuttgart,BW,70178,48.771,9.176,5,5,0,Financial Services;Wine Bars;Restaurants;Italian;Pizza;Financial Advising;Caterers;Nightlife;Food;Wedding Planning;Event Planning & Services;Bars
ZStsZ_B3RNY6mLNFfpYQfA,Würschtle Bude,,Poststr. 13,Böblingen,BW,71032,48.685,9.011,4,3,1,German;Restaurants;Food Stands;Curry Sausage;Schnitzel
HJ5GABl8RsLYjiWC9Zf7PQ,Matthews Alive Festival,,Trade St,Matthews,NC,28105,35.117,-80.721,4,5,1,Arts & Entertainment;Festivals
cTudgI-2jn-GlnZUmULy5Q,Bruegger's Bagels,,1905 Matthews Township Pkwy,Matthews,NC,28105,35.124,-80.709,4,27,1,Restaurants;Sandwiches;Breakfast & Brunch;Bagels;Food
xl8jk0FbszttHyI_vjozkA,Ton V Lee, DDS,Southeast,2425 E Hacienda Ave, Ste 120, Summerlin Smiles,Las Vegas,NV,89120,36.093,-115.118,5,4,1,Health & Medical;Dentists;Cosmetic Dentists;General Dentistry
nUR_AQd_6Dhpx3sb2T6meg,Aces Bar & Grill,Southwest,7272 S El Capitan Way, Ste 2,Las Vegas,NV,89148,36.056,-115.288,4,77,1,Nightlife;Food;Specialty Food;Sports Bars;Bars
dJGMbloBEtXTAWSQBqS5pw,My Natural Health Centre,,3241 Major MacKenzie Road E,Richmond Hill,ON,L4S 1P4,43.882,-79.384,4,6,1,Health & Medical;Traditional Chinese Medicine
ImIYQbWPsvLVSS0GyVz0og,T1 Rehabilitation & Wellness Center,Willowdale,77 Finch Avenue W, Unit103,Toronto,ON,M2N 2H5,43.778,-79.422,4,17,1,Massage;Medical Spas;Health & Medical;Chiropractors;Beauty & Spas;Physical Therapy;Acupuncture
XbtNbyIGaTitIuEgzEBCzg,Royal Care Medical Centre,Kensington Market,295 College Street,Toronto,ON,M5T 1S2,43.658,-79.401,5,6,1,Health & Medical;Walk-in Clinics;Medical Centers
rwOl_--ElAL1D50G8-BQLg,Signs Restaurant,Downtown Core,558 Yonge Street,Toronto,ON,M4Y 1Z1,43.665,-79.385,4,120,0,Gluten-Free;Food;Canadian (New);Restaurants;Beer;Wine & Spirits;Vegan
Wvst5nUM1Yd64cdjIPOD6w,Alima's Roti and Pastry,Malton,13 Kenview Boulevard, Unit 49,Brampton,ON,L6T 5K9,43.736,-79.651,4,19,1,Food;Caribbean;Specialty Food;Restaurants;Indian
lTxZFiWEd2NNF4Eh7_mlRg,Kassab's,South Side,1207 E Carson St,Pittsburgh,PA,15203,40.429,-79.986,4,101,1,Middle Eastern;Greek;Mediterranean;Lebanese;Restaurants
WCMt5LU2NnkmzjKNhTB7UA,VFW Day Post 7591,Lake Edge,301 Cottage Grove Rd,Madison,WI,53716,43.083,-89.321,5,7,1,American (Traditional);Restaurants;Fish & Chips
R6QCy5sVlySKgqvHb-HhTg,Jacs Dining and Tap House,Dudgeon-Monroe,2611 Monroe St,Madison,WI,53711,43.057,-89.428,4,197,1,American (New);Restaurants;Gluten-Free;Modern European
BXyOtdsnUfGxMYtoM7lIwQ,Arizona Armory,,Phoenix,AZ,85009,33.444,-112.131,4.5,6,1,Guns & Ammo;Shopping;Gun/Rifle Ranges;Active Life
eyU4hQOMAG--PUFK-lihDA,Pepperwood Water & Ice Cream,,805 W Baseline Rd, Ste 2,Tempe,AZ,85283,33.377,-111.951,5,13,1,Water Stores;Ice Cream & Frozen Yogurt;Shaved Ice;Food
d7y2sEZQGTUQIxKJ4fFS-w,Tahoe Designs,,Phoenix,AZ,85003,33.437,-112.056,4.5,6,1,Cabinetry;Home Services;Contractors
vV6oNhupyM8gEhjmhqLPjQ,Anita Purves Nature Center,,1505 N Broadway Ave,Urbana,IL,61801,40.127,-88.208,5,5,1,Parks;Active Life
eLRCVsfSUKteoCQi_LVdGg,Savvy Lingerie,Westside,750 S Rampart Blvd, Ste 5,Las Vegas,NV,89145,36.165,-115.289,4.5,11,0,Women's Clothing;Shopping;Swimwear;Lingerie;Fashion
dkLhVfBjMnlQeLl5SGb9KA,Sweets By Maggie,,7660 Leavitt Rd,Amherst,OH,44001,41.384,-82.211,5,8,0,Bakeries;Food
l4xrBZAKLXpSR4iprqTw8A,Mark's,,1015 Lakeshore Boulevard E, Unit 5,Toronto,ON,M4M 1B3,43.656,-79.332,5,3,1,Women's Clothing;Shopping;Fashion;Men's Clothing
ICdzSGuv70gpSk7aqpIrHw,Wok-In Bbq,,3540 Rutherford Road, Unit 67,Vaughan,ON,L4H 3T8,43.829,-79.549,4.5,10,1,Chinese;Barbeque;Restaurants
wk3wGDfJb1V-ciZpyhoNAA,Bic's Pub and Grill,,560 State Road 130,Trafford,PA,15085,40.39,-79.727,4.5,7,1,Pubs;American (Traditional);Nightlife;Bars;Pizza;Restaurants
NBYN4Nks_EsPHyAlJ_mdNw,Bistro Merlot,,18425 Antoine Faucon,Pierrefonds,QC,H9K 1M7,45.452,-73.887,4.5,8,0,Salad;Pizza;Restaurants;Event Planning & Services;Vietnamese;Caterers
xPy6fq53MdGMxtbvxBD4RA,The Addison,,2674 N Park Ln,Fitchburg,WI,53711,43.001,-89.398,5,5,1,Property Management;Condominiums;Apartments;Home Services;Real Estate
